A,B,C,D
1.0,20.0,-19.67999999642372,272.2199999946356
2.0,4.0,-17.67999999642372,80.23
3.0,20.0,-16.000000000447034,272.0999999973178
4.0,34.0,-13.689999986886978,440.0700000035763
5.0,34.0,-11.789999995827674,440.28000001192095
6.0,34.0,-9.709999997615814,440.2900000023842
7.0,27.0,-8.000000000447034,356.3699999856949
8.0,7.0,-5.830000002384185,116.29999999284745
9.0,19.0,-3.640000004768371,260.05000000029804
10.0,32.0,-1.9900000006705523,416.0700000035763
11.0,0.0,0.2699999916553497,32.28000001192093
12.0,37.0,2.219999994635582,476.25000001072885
13.0,17.0,4.099999997317791,236.26999999165534
14.0,17.0,5.999999999552966,236.35999999523162
15.0,3.0,8.26999999165535,68.21000000417233
16.0,0.0,10.18999999344349,32.16000000715256
17.0,8.0,12.32000000357628,127.98
18.0,21.0,14.359999995231629,284.00999999932947
19.0,28.0,16.350000004768372,368.35999999523165
20.0,31.0,18.219999994635582,404.15000000178816
21.0,14.0,20.05999999821186,200.310000013113
22.0,11.0,22.089999999403954,164.16000000715255
23.0,14.0,24.32000000357628,200.26999999165534
24.0,0.0,26.089999999403954,32.269999991655354
25.0,39.0,28.10999999523163,500.0599999982119
26.0,11.0,30.290000002384186,164.03000000074505
27.0,14.0,32.219999994635586,200.1999999988079
28.0,18.0,34.189999993443486,248.0800000014901
29.0,4.0,36.239999990463254,80.10999999523163
30.0,26.0,38.32999999403953,344.26999999165537
31.0,31.0,40.26999999165535,404.0399999986589
32.0,12.0,42.12000000059604,176.16000000715255
33.0,31.0,44.109999995231625,404.2199999946356
34.0,30.0,45.99999999955296,392.32999999403955
35.0,35.0,48.08999999940395,452.23
36.0,2.0,50.199999998807904,56.29000000238418
37.0,36.0,52.23,464.1899999934435
38.0,17.0,54.34000001430511,235.98
39.0,0.0,56.199999998807904,32.10999999523163
40.0,1.0,57.98999999977648,44.070000003576276
41.0,6.0,60.32999999403953,104.29999999284745
42.0,10.0,62.12000000059604,152.07000000357627
43.0,5.0,64.26999999165534,92.26999999165535
44.0,33.0,65.98,428.00999999932947
45.0,12.0,68.05999999821186,176.1399999964237
46.0,22.0,70.08000000149012,296.08000000149013
47.0,7.0,72.10999999523163,116.2600000011921
48.0,8.0,74.36999998569489,128.05999999821188
49.0,7.0,76.16000000715256,116.16999999761582
50.0,37.0,78.10999999523163,476.34000001430513
51.0,12.0,80.21999999463559,175.99999999955295
52.0,14.0,82.29000000238419,200.0800000014901
53.0,18.0,84.23999999046326,248.36999998569488
54.0,0.0,86.16000000715256,31.999999999552966
55.0,20.0,88.35000000476838,272.05000000029804
56.0,26.0,90.29000000238419,343.999999999553
57.0,22.0,92.31000001311303,296.2199999946356
58.0,33.0,94.07000000357628,428.26999999165537
59.0,15.0,96.15000000178814,212.00999999932944
60.0,4.0,98.2600000011921,80.32999999403954
61.0,33.0,100.29000000238419,428.00999999932947
62.0,3.0,102.34000001430512,68.31000001311303
63.0,15.0,104.32000000357628,212.29000000238418
64.0,21.0,105.99999999955297,284.2199999946356
65.0,1.0,108.26999999165535,44.03999999865889
66.0,39.0,109.98,500.1300000059605
67.0,35.0,112.08999999940396,452.00999999932947
68.0,2.0,114.28000001192093,56.280000011920926
69.0,17.0,116.12000000059605,236.32000000357627
70.0,24.0,118.08999999940396,320.1600000071526
71.0,21.0,120.08999999940396,284.089999999404
72.0,31.0,122.08000000149012,404.0999999973178
73.0,0.0,123.98999999977649,32.28000001192093
74.0,5.0,126.13000000596047,92.1899999934435
75.0,25.0,127.98,332.2900000023842
76.0,22.0,130.08999999940394,296.1999999988079
77.0,9.0,132.0800000014901,140.23
78.0,14.0,134.25000001072883,200.07000000357627
79.0,11.0,136.23,164.21000000417231
80.0,38.0,138.00999999932944,487.9899999997765
81.0,36.0,140.28000001192092,464.00999999932947
82.0,18.0,142.23,248.12000000059604
83.0,27.0,143.98999999977647,356.23
84.0,25.0,146.1999999988079,332.23
85.0,32.0,148.12000000059604,416.23
86.0,4.0,150.29999999284743,80.13999999642373
87.0,31.0,152.36999998569488,403.98
88.0,15.0,154.18000000298022,212.1999999988079
89.0,26.0,156.01999999910592,344.34000001430513
90.0,6.0,158.36999998569488,104.07000000357628
91.0,30.0,160.07000000357627,392.3200000035763
92.0,23.0,162.0800000014901,308.34000001430513
93.0,30.0,164.310000013113,392.01999999910595
94.0,21.0,166.09999999731778,284.0399999986589
95.0,5.0,168.05999999821185,92.26999999165535
96.0,4.0,170.03000000074505,79.98999999977649
97.0,8.0,172.29000000238418,128.2900000023842
98.0,3.0,174.29999999284743,68.23999999046326
99.0,24.0,176.21000000417231,320.1899999934435
100.0,4.0,178.35000000476836,80.07000000357628
